channel,counts,energy_keV
0,77,0.0000
1,77,0.0000
2,77,0.0000
3,77,0.0000
4,77,0.0000
5,77,0.0000
6,77,0.0000
7,77,0.0000
8,0,0.0000
9,0,0.0000
10,0,0.0000
11,0,0.0000
12,0,0.0000
13,0,0.0000
14,0,0.0000
15,0,0.0000
16,0,0.0000
17,0,0.0000
18,0,0.0000
19,0,0.0000
20,0,0.0000
21,0,0.0000
22,0,0.0000
23,0,0.0000
24,6219,0.0000
25,6219,0.0000
26,6219,0.0000
27,6219,0.0000
28,6219,0.0000
29,6219,0.0000
30,6219,0.0000
31,6219,0.0000
32,792033,0.0000
33,792033,0.0000
34,792033,0.0000
35,792033,0.0000
36,792033,0.0000
37,792033,0.0000
38,792033,0.0000
39,792033,0.0000
40,918781,0.0000
41,918781,0.0000
42,918781,0.0000
43,918781,0.0000
44,918781,0.0000
45,918781,0.0000
46,918781,0.0000
47,918781,0.0000
48,794202,0.0000
49,794202,0.0000
50,794202,0.0000
51,794202,0.0000
52,794202,0.0000
53,794202,0.0000
54,794202,0.0000
55,794202,0.0000
56,570480,0.0000
57,570480,0.0000
58,570480,0.0000
59,570480,0.0000
60,570480,0.0000
61,570480,0.0000
62,570480,0.0000
63,570480,0.0000
64,355847,0.0000
65,355847,0.0000
66,355847,0.0000
67,355847,0.0000
68,355847,0.0000
69,355847,0.0000
70,355847,0.0000
71,355847,0.0000
72,244114,0.0000
73,244114,0.0000
74,244114,0.0000
75,244114,0.0000
76,244114,0.0000
77,244114,0.0000
78,244114,0.0000
79,244114,0.0000
80,214895,0.0000
81,214895,0.0000
82,214895,0.0000
83,214895,0.0000
84,214895,0.0000
85,214895,0.0000
86,214895,0.0000
87,214895,0.0000
88,219477,0.0000
89,219477,0.0000
90,219477,0.0000
91,219477,0.0000
92,219477,0.0000
93,219477,0.0000
94,219477,0.0000
95,219477,0.0000
96,229756,0.0000
97,229756,0.0000
98,229756,0.0000
99,229756,0.0000
100,229756,0.0000
101,229756,0.0000
102,229756,0.0000
103,229756,0.0000
104,236759,0.0000
105,236759,0.0000
106,236759,0.0000
107,236759,0.0000
108,236759,0.0000
109,236759,0.0000
110,236759,0.0000
111,236759,0.0000
112,239555,0.0000
113,239555,0.0000
114,239555,0.0000
115,239555,0.0000
116,239555,0.0000
117,239555,0.0000
118,239555,0.0000
119,239555,0.0000
120,234271,0.0000
121,234271,0.0000
122,234271,0.0000
123,234271,0.0000
124,234271,0.0000
125,234271,0.0000
126,234271,0.0000
127,234271,0.0000
128,227867,0.0000
129,227867,0.0000
130,227867,0.0000
131,227867,0.0000
132,227867,0.0000
133,227867,0.0000
134,227867,0.0000
135,227867,0.0000
136,220339,0.0000
137,220339,0.0000
138,220339,0.0000
139,220339,0.0000
140,220339,0.0000
141,220339,0.0000
142,220339,0.0000
143,220339,0.0000
144,216476,0.0000
145,216476,0.0000
146,216476,0.0000
147,216476,0.0000
148,216476,0.0000
149,216476,0.0000
150,216476,0.0000
151,216476,0.0000
152,213609,0.0000
153,213609,0.0000
154,213609,0.0000
155,213609,0.0000
156,213609,0.0000
157,213609,0.0000
158,213609,0.0000
159,213609,0.0000
160,212231,0.0000
161,212231,0.0000
162,212231,0.0000
163,212231,0.0000
164,212231,0.0000
165,212231,0.0000
166,212231,0.0000
167,212231,0.0000
168,211264,0.0000
169,211264,0.0000
170,211264,0.0000
171,211264,0.0000
172,211264,0.0000
173,211264,0.0000
174,211264,0.0000
175,211264,0.0000
176,209353,0.0000
177,209353,0.0000
178,209353,0.0000
179,209353,0.0000
180,209353,0.0000
181,209353,0.0000
182,209353,0.0000
183,209353,0.0000
184,208124,0.0000
185,208124,0.0000
186,208124,0.0000
187,208124,0.0000
188,208124,0.0000
189,208124,0.0000
190,208124,0.0000
191,208124,0.0000
192,207248,0.0000
193,207248,0.0000
194,207248,0.0000
195,207248,0.0000
196,207248,0.0000
197,207248,0.0000
198,207248,0.0000
199,207248,0.0000
200,204959,0.0000
201,204959,0.0000
202,204959,0.0000
203,204959,0.0000
204,204959,0.0000
205,204959,0.0000
206,204959,0.0000
207,204959,0.0000
208,203136,0.0000
209,203136,0.0000
210,203136,0.0000
211,203136,0.0000
212,203136,0.0000
213,203136,0.0000
214,203136,0.0000
215,203136,0.0000
216,202578,0.0000
217,202578,0.0000
218,202578,0.0000
219,202578,0.0000
220,202578,0.0000
221,202578,0.0000
222,202578,0.0000
223,202578,0.0000
224,213682,0.0000
225,213682,0.0000
226,213682,0.0000
227,213682,0.0000
228,213682,0.0000
229,213682,0.0000
230,213682,0.0000
231,213682,0.0000
232,253022,0.0000
233,253022,0.0000
234,253022,0.0000
235,253022,0.0000
236,253022,0.0000
237,253022,0.0000
238,253022,0.0000
239,253022,0.0000
240,316547,0.0000
241,316547,0.0000
242,316547,0.0000
243,316547,0.0000
244,316547,0.0000
245,316547,0.0000
246,316547,0.0000
247,316547,0.0000
248,368292,0.0000
249,368292,0.0000
250,368292,0.0000
251,368292,0.0000
252,368292,0.0000
253,368292,0.0000
254,368292,0.0000
255,368292,0.0000
256,361552,0.0000
257,361552,0.0000
258,361552,0.0000
259,361552,0.0000
260,361552,0.0000
261,361552,0.0000
262,361552,0.0000
263,361552,0.0000
264,277660,0.0000
265,277660,0.0000
266,277660,0.0000
267,277660,0.0000
268,277660,0.0000
269,277660,0.0000
270,277660,0.0000
271,277660,0.0000
272,187227,0.0000
273,187227,0.0000
274,187227,0.0000
275,187227,0.0000
276,187227,0.0000
277,187227,0.0000
278,187227,0.0000
279,187227,0.0000
280,149122,0.0000
281,149122,0.0000
282,149122,0.0000
283,149122,0.0000
284,149122,0.0000
285,149122,0.0000
286,149122,0.0000
287,149122,0.0000
288,140340,0.0000
289,140340,0.0000
290,140340,0.0000
291,140340,0.0000
292,140340,0.0000
293,140340,0.0000
294,140340,0.0000
295,140340,0.0000
296,138689,0.0000
297,138689,0.0000
298,138689,0.0000
299,138689,0.0000
300,138689,0.0000
301,138689,0.0000
302,138689,0.0000
303,138689,0.0000
304,136607,0.0000
305,136607,0.0000
306,136607,0.0000
307,136607,0.0000
308,136607,0.0000
309,136607,0.0000
310,136607,0.0000
311,136607,0.0000
312,136280,0.0000
313,136280,0.0000
314,136280,0.0000
315,136280,0.0000
316,136280,0.0000
317,136280,0.0000
318,136280,0.0000
319,136280,0.0000
320,134627,0.0000
321,134627,0.0000
322,134627,0.0000
323,134627,0.0000
324,134627,0.0000
325,134627,0.0000
326,134627,0.0000
327,134627,0.0000
328,132992,0.0000
329,132992,0.0000
330,132992,0.0000
331,132992,0.0000
332,132992,0.0000
333,132992,0.0000
334,132992,0.0000
335,132992,0.0000
336,127933,0.0000
337,127933,0.0000
338,127933,0.0000
339,127933,0.0000
340,127933,0.0000
341,127933,0.0000
342,127933,0.0000
343,127933,0.0000
344,121100,0.0000
345,121100,0.0000
346,121100,0.0000
347,121100,0.0000
348,121100,0.0000
349,121100,0.0000
350,121100,0.0000
351,121100,0.0000
352,118689,0.0000
353,118689,0.0000
354,118689,0.0000
355,118689,0.0000
356,118689,0.0000
357,118689,0.0000
358,118689,0.0000
359,118689,0.0000
